dataset,seed,n_train,feature_dim,feature_std_ddof,mean_feature_std,best_epoch,best_train_loss,checkpoint
Epilepsy,40,7360,5120,0,0.1319460535026199,3,0.011310506334690296,result/checkpoints/loss_lambda0.5_seed40/Epilepsy/best.pt
Epilepsy,41,7360,5120,0,0.12441204361336329,3,0.012766740167432506,result/checkpoints/loss_lambda0.5_seed41/Epilepsy/best.pt
Epilepsy,42,7360,5120,0,0.13101105159304205,3,0.013945337943732738,result/checkpoints/loss_lambda0.5_seed42/Epilepsy/best.pt
Epilepsy,43,7360,5120,0,0.12938114793909916,3,0.011720082034235415,result/checkpoints/loss_lambda0.5_seed43/Epilepsy/best.pt
Epilepsy,44,7360,5120,0,0.1254186636283232,3,0.014735400482364323,result/checkpoints/loss_lambda0.5_seed44/Epilepsy/best.pt
HAR,40,5881,5120,0,0.9777698340587925,3,0.020421145873589685,result/checkpoints/loss_lambda0.5_seed40/HAR/best.pt
HAR,41,5881,5120,0,0.9683289258175659,3,0.021917792755867475,result/checkpoints/loss_lambda0.5_seed41/HAR/best.pt
HAR,42,5881,5120,0,0.9762916180593695,3,0.020588574100933645,result/checkpoints/loss_lambda0.5_seed42/HAR/best.pt
HAR,43,5881,5120,0,0.9747325862518711,3,0.021726258726709562,result/checkpoints/loss_lambda0.5_seed43/HAR/best.pt
HAR,44,5881,5120,0,0.9671582000660685,3,0.021029559394304197,result/checkpoints/loss_lambda0.5_seed44/HAR/best.pt
PAMAP2,40,51192,5120,0,1.1162447090014365,3,0.009833764577633701,result/checkpoints/loss_lambda0.5_seed40/PAMAP2/best.pt
PAMAP2,41,51192,5120,0,1.1140163240501075,3,0.009508824721851852,result/checkpoints/loss_lambda0.5_seed41/PAMAP2/best.pt
PAMAP2,42,51192,5120,0,1.1181127706375344,3,0.010658761797531042,result/checkpoints/loss_lambda0.5_seed42/PAMAP2/best.pt
PAMAP2,43,51192,5120,0,1.1144146657046847,3,0.009699732004082761,result/checkpoints/loss_lambda0.5_seed43/PAMAP2/best.pt
PAMAP2,44,51192,5120,0,1.1157468070379808,3,0.009301473997766152,result/checkpoints/loss_lambda0.5_seed44/PAMAP2/best.pt
Skoda,40,22587,5120,0,0.7832438620536658,3,0.02114024775224097,result/checkpoints/loss_lambda0.5_seed40/Skoda/best.pt
Skoda,41,22587,5120,0,0.7962333085068332,3,0.018971631708409816,result/checkpoints/loss_lambda0.5_seed41/Skoda/best.pt
Skoda,42,22587,5120,0,0.7885966072473868,3,0.020139025934515442,result/checkpoints/loss_lambda0.5_seed42/Skoda/best.pt
Skoda,43,22587,5120,0,0.795181460007844,3,0.0193038889096137,result/checkpoints/loss_lambda0.5_seed43/Skoda/best.pt
Skoda,44,22587,5120,0,0.7923817133988004,3,0.01898548220318581,result/checkpoints/loss_lambda0.5_seed44/Skoda/best.pt
Sleep,40,25612,5120,0,0.18335003228854357,3,0.011726995588241891,result/checkpoints/loss_lambda0.5_seed40/Sleep/best.pt
Sleep,41,25612,5120,0,0.17982597830093144,3,0.012408985665647056,result/checkpoints/loss_lambda0.5_seed41/Sleep/best.pt
Sleep,42,25612,5120,0,0.1851609211604937,3,0.013460609723538271,result/checkpoints/loss_lambda0.5_seed42/Sleep/best.pt
Sleep,43,25612,5120,0,0.17751556051375167,3,0.011637340896831506,result/checkpoints/loss_lambda0.5_seed43/Sleep/best.pt
Sleep,44,25612,5120,0,0.17737753191545944,3,0.014441164016267855,result/checkpoints/loss_lambda0.5_seed44/Sleep/best.pt
